fold,seq,t,z1,z2,z3
2,0,0,-0.43232363,0.9289773,-0.4052093
2,0,1,-0.42581636,0.932909,-0.39250746
2,0,2,-0.41923866,0.9368092,-0.37974942
2,0,3,-0.41259053,0.9406775,-0.3669355
2,0,4,-0.40587205,0.94451374,-0.35406595
2,0,5,-0.3990832,0.9483176,-0.34114116
2,0,6,-0.39222407,0.9520888,-0.32816142
2,0,7,-0.38529468,0.955827,-0.31512707
2,0,8,-0.3782951,0.959532,-0.30203846
2,0,9,-0.37122542,0.9632036,-0.28889593
2,0,10,-0.36408567,0.96684146,-0.27569982
2,0,11,-0.356876,0.97044533,-0.2624505
2,0,12,-0.3495964,0.974015,-0.24914831
2,0,13,-0.34224707,0.9775502,-0.23579364
2,0,14,-0.33482805,0.9810507,-0.22238685
2,0,15,-0.32733947,0.9845163,-0.20892836
2,0,16,-0.31978145,0.98794675,-0.1954185
2,0,17,-0.3121541,0.99134177,-0.1818577
2,0,18,-0.3044576,0.99470115,-0.16824639
2,0,19,-0.29669204,0.9980247,-0.1545849
2,0,20,-0.28885758,1.0013121,-0.14087367
2,0,21,-0.2809544,1.0045633,-0.12711315
2,0,22,-0.27298263,1.007778,-0.113303706
2,0,23,-0.26494247,1.0109562,-0.099445805
2,0,24,-0.2568341,1.0140973,-0.08553983
2,0,25,-0.24865766,1.0172015,-0.07158625
2,0,26,-0.24041338,1.0202684,-0.057585493
2,0,27,-0.23210146,1.0232979,-0.043538004
2,0,28,-0.22372207,1.0262898,-0.029444229
2,0,29,-0.21527547,1.029244,-0.0153046595
2,0,30,-0.20676182,1.0321602,-0.001119676
2,0,31,-0.19818138,1.0350382,0.013110223
2,0,32,-0.18953437,1.037878,0.027384574
2,0,33,-0.18082103,1.0406795,0.041702908
2,0,34,-0.17204161,1.0434424,0.056064755
2,0,35,-0.16319634,1.0461665,0.07046964
2,0,36,-0.15428552,1.0488518,0.084917046
2,0,37,-0.14530936,1.0514982,0.09940657
2,0,38,-0.13626814,1.0541054,0.11393768
2,0,39,-0.12716213,1.0566734,0.12850991
2,0,40,-0.117991604,1.0592021,0.14312275
2,0,41,-0.108756855,1.0616913,0.15777571
2,0,42,-0.099458195,1.0641409,0.17246827
2,0,43,-0.09009586,1.066551,0.18720001
2,0,44,-0.08067018,1.0689212,0.20197037
2,0,45,-0.07118147,1.0712516,0.21677883
2,0,46,-0.061629996,1.0735421,0.23162496
2,0,47,-0.052016094,1.0757926,0.24650823
2,0,48,-0.042340077,1.0780028,0.26142812
2,0,49,-0.03260226,1.0801729,0.27638412
2,0,50,-0.022802971,1.0823027,0.29137573
2,0,51,-0.012942536,1.0843922,0.30640242
2,0,52,-0.0030212821,1.0864413,0.3214637
2,0,53,0.0069604544,1.08845,0.33655906
2,0,54,0.017002337,1.0904181,0.351688
2,0,55,0.027104026,1.0923457,0.36685
2,0,56,0.037265178,1.0942327,0.38204452
2,0,57,0.04748545,1.096079,0.39727107
2,0,58,0.057764433,1.0978847,0.41252905
2,0,59,0.06810189,1.0996497,0.42781812
2,0,60,0.07849742,1.1013739,0.4431377
2,0,61,0.08895066,1.1030574,0.45848727
2,0,62,0.09946125,1.1047001,0.47386628
2,0,63,0.11002884,1.1063019,0.48927426
2,0,64,0.12065306,1.107863,0.5047107
2,0,65,0.13133356,1.1093831,0.52017504
2,0,66,0.14206997,1.1108625,0.5356669
2,0,67,0.15286192,1.112301,0.5511856
2,0,68,0.16370906,1.1136986,0.5667308
2,0,69,0.17461102,1.1150554,0.5823019
2,0,70,0.18556742,1.1163714,0.5978984
2,0,71,0.19657785,1.1176466,0.6135198
2,0,72,0.20764205,1.1188809,0.62916565
2,0,73,0.2187596,1.1200744,0.6448354
2,0,74,0.22993012,1.1212271,0.6605286
2,0,75,0.24115324,1.1223391,0.67624474
2,0,76,0.25242862,1.1234105,0.6919833
2,0,77,0.26375586,1.124441,0.70774376
2,0,78,0.2751346,1.125431,0.7235257
2,0,79,0.28656447,1.1263802,0.7393286
2,0,80,0.29804513,1.1272889,0.75515205
2,0,81,0.30957618,1.1281571,0.7709955
2,0,82,0.32115728,1.1289848,0.7868585
2,0,83,0.33278805,1.1297721,0.8027405
2,0,84,0.34446806,1.1305189,0.81864107
2,0,85,0.3561971,1.1312253,0.8345598
2,0,86,0.3679747,1.1318915,0.85049623
2,0,87,0.37980053,1.1325175,0.86644983
2,0,88,0.39167422,1.1331033,0.8824202
2,0,89,0.40359542,1.1336489,0.8984068
2,0,90,0.4155637,1.1341544,0.91440916
2,0,91,0.42757893,1.1346201,0.930427
2,0,92,0.43964046,1.1350458,0.94645965
2,0,93,0.45174822,1.1354316,0.9625069
2,0,94,0.46390158,1.1357777,0.978568
2,0,95,0.47610047,1.1360841,0.9946429
2,0,96,0.48834428,1.1363509,1.0107307
2,0,97,0.50063294,1.1365782,1.0268315
2,0,98,0.5129658,1.1367661,1.0429444
2,0,99,0.5253428,1.1369146,1.0590694
2,0,100,0.53776336,1.1370238,1.0752057
2,0,101,0.55022734,1.1370939,1.0913532
2,0,102,0.56273425,1.1371249,1.1075112
2,0,103,0.57528377,1.1371169,1.1236793
2,0,104,0.5878758,1.1370701,1.1398574
2,0,105,0.60050964,1.1369845,1.1560448
2,0,106,0.61318535,1.1368601,1.1722414
2,0,107,0.62590224,1.1366973,1.1884465
2,0,108,0.63866025,1.136496,1.20466
2,0,109,0.65145886,1.1362562,1.2208812
2,0,110,0.66429794,1.1359782,1.23711
2,0,111,0.67717695,1.1356621,1.2533458
2,0,112,0.69009584,1.1353079,1.2695886
2,0,113,0.703054,1.1349158,1.2858375
2,0,114,0.7160514,1.134486,1.3020926
2,0,115,0.7290875,1.1340184,1.3183532
2,0,116,0.742162,1.1335133,1.334619
2,0,117,0.75527483,1.1329708,1.35089
2,0,118,0.7684254,1.132391,1.3671654
2,0,119,0.78161365,1.1317741,1.3834453
2,0,120,0.794839,1.1311201,1.3997289
2,0,121,0.8081015,1.1304291,1.4160163
2,0,122,0.82140046,1.1297015,1.4323069
2,0,123,0.83473593,1.1289371,1.4486005
2,0,124,0.8481073,1.1281363,1.4648967
2,0,125,0.86151457,1.1272991,1.4811953
2,0,126,0.87495714,1.1264256,1.4974958
2,0,127,0.88843507,1.125516,1.5137981
2,0,128,0.9019477,1.1245705,1.5301018
2,0,129,0.91549486,1.1235892,1.5464065
2,0,130,0.9290765,1.1225722,1.5627123
2,0,131,0.942692,1.1215197,1.5790185
2,0,132,0.9563414,1.1204318,1.5953251
2,0,133,0.97002405,1.1193087,1.6116315
2,0,134,0.98374003,1.1181505,1.6279379
2,0,135,0.99748874,1.1169573,1.6442436
2,0,136,1.0112702,1.1157295,1.6605487
2,0,137,1.0250838,1.1144669,1.6768525
2,0,138,1.0389296,1.1131699,1.6931552
2,0,139,1.052807,1.1118386,1.7094562
2,0,140,1.0667161,1.1104732,1.7257556
2,0,141,1.0806562,1.1090738,1.7420528
2,0,142,1.0946273,1.1076405,1.7583477
2,0,143,1.1086291,1.1061736,1.7746404
2,0,144,1.1226612,1.1046733,1.7909303
2,0,145,1.1367236,1.1031395,1.8072174
2,0,146,1.1508157,1.1015726,1.8235011
2,0,147,1.1649376,1.0999727,1.8397818
2,0,148,1.1790887,1.0983399,1.8560587
2,0,149,1.193269,1.0966744,1.8723321
2,0,150,1.2074779,1.0949765,1.8886014
2,0,151,1.2217156,1.0932462,1.9048668
2,0,152,1.2359813,1.0914838,1.9211277
2,0,153,1.2502753,1.0896894,1.9373842
2,0,154,1.2645968,1.0878631,1.953636
2,0,155,1.2789459,1.0860052,1.969883
2,0,156,1.2933224,1.0841157,1.9861251
2,0,157,1.3077258,1.082195,2.0023618
2,0,158,1.3221561,1.0802432,2.0185933
2,0,159,1.3366127,1.0782604,2.0348194
2,0,160,1.3510957,1.0762469,2.05104
2,0,161,1.3656045,1.0742027,2.0672545
2,0,162,1.3801392,1.072128,2.0834634
2,0,163,1.3946993,1.0700232,2.099666
2,0,164,1.4092848,1.0678883,2.1158626
2,0,165,1.4238952,1.0657234,2.1320527
2,0,166,1.4385306,1.0635289,2.1482365
2,0,167,1.4531903,1.0613048,2.1644137
2,0,168,1.4678743,1.0590514,2.1805842
2,0,169,1.4825826,1.0567688,2.196748
2,0,170,1.4973145,1.0544572,2.2129047
2,0,171,1.5120701,1.0521168,2.2290545
2,0,172,1.5268489,1.0497477,2.245197
2,0,173,1.541651,1.0473502,2.2613325
2,0,174,1.5564759,1.0449244,2.2774606
2,0,175,1.5713235,1.0424705,2.2935812
2,0,176,1.5861934,1.0399886,2.3096943
2,0,177,1.6010857,1.037479,2.3258
2,0,178,1.6159997,1.0349419,2.3418977
2,0,179,1.6309357,1.0323774,2.3579879
2,0,180,1.6458932,1.0297856,2.3740702
2,0,181,1.660872,1.0271668,2.3901446
2,0,182,1.6758716,1.0245214,2.4062107
2,0,183,1.6908923,1.0218492,2.422269
2,0,184,1.7059337,1.0191504,2.4383194
2,0,185,1.7209955,1.0164254,2.4543614
2,0,186,1.7360772,1.0136743,2.4703948
2,0,187,1.7511792,1.0108972,2.4864204
2,0,188,1.766301,1.0080943,2.5024376
2,0,189,1.7814424,1.0052658,2.5184462
2,0,190,1.7966028,1.0024121,2.534446
2,0,191,1.8117827,0.999533,2.5504377
2,0,192,1.8269815,0.9966289,2.5664208
2,0,193,1.8421987,0.99369997,2.582395
2,0,194,1.8574349,0.99074626,2.598361
2,0,195,1.8726892,0.98776805,2.6143184
2,0,196,1.8879619,0.9847655,2.630267
2,0,197,1.903252,0.98173887,2.6462064
2,0,198,1.9185603,0.9786882,2.6621375
2,0,199,1.933886,0.97561365,2.6780598
2,0,200,1.9492291,0.97251546,2.6939733
2,0,201,1.964589,0.9693939,2.7098775
2,0,202,1.9799662,0.966249,2.725773
2,0,203,1.9953601,0.96308094,2.7416599
2,0,204,2.0107708,0.9598899,2.7575378
2,0,205,2.0261974,0.9566761,2.7734065
2,0,206,2.0416405,0.9534397,2.7892666
2,0,207,2.0570996,0.9501808,2.8051176
2,0,208,2.0725741,0.9468998,2.8209593
2,0,209,2.0880647,0.94359654,2.8367925
2,0,210,2.1035707,0.9402714,2.8526165
2,0,211,2.119092,0.9369244,2.8684316
2,0,212,2.134628,0.9335559,2.8842373
2,0,213,2.1501796,0.9301659,2.9000344
2,0,214,2.1657457,0.9267546,2.9158225
2,0,215,2.1813266,0.9233222,2.9316015
2,0,216,2.1969216,0.91986895,2.9473712
2,0,217,2.212531,0.9163948,2.9631321
2,0,218,2.2281547,0.9129001,2.978884
2,0,219,2.2437918,0.90938497,2.9946265
2,0,220,2.259443,0.90584946,3.0103605
2,0,221,2.2751079,0.9022938,3.0260854
2,0,222,2.290786,0.8987181,3.0418012
2,0,223,2.3064773,0.8951227,3.0575078
2,0,224,2.322182,0.89150757,3.0732057
