fold,seq,t,z1,z2,z3
0,0,0,-0.289644,-0.7926973,0.81800115
0,0,1,-0.29653352,-0.7834955,0.8151006
0,0,2,-0.30340576,-0.7742304,0.81215966
0,0,3,-0.31026024,-0.7649024,0.8091783
0,0,4,-0.3170965,-0.7555118,0.80615664
0,0,5,-0.32391408,-0.7460589,0.80309474
0,0,6,-0.3307125,-0.7365439,0.7999927
0,0,7,-0.3374913,-0.7269672,0.79685056
0,0,8,-0.34425,-0.71732914,0.79366845
0,0,9,-0.35098815,-0.70763,0.7904464
0,0,10,-0.3577053,-0.6978701,0.78718454
0,0,11,-0.36440095,-0.68804973,0.783883
0,0,12,-0.37107468,-0.6781693,0.7805417
0,0,13,-0.37772602,-0.6682291,0.77716094
0,0,14,-0.3843545,-0.6582295,0.7737407
0,0,15,-0.39095968,-0.64817077,0.77028114
0,0,16,-0.3975411,-0.6380533,0.76678234
0,0,17,-0.40409836,-0.6278775,0.7632444
0,0,18,-0.41063097,-0.6176436,0.7596674
0,0,19,-0.41713852,-0.607352,0.75605154
0,0,20,-0.42362052,-0.59700316,0.7523969
0,0,21,-0.4300766,-0.5865973,0.74870354
0,0,22,-0.4365063,-0.5761349,0.74497163
0,0,23,-0.44290918,-0.5656163,0.7412013
0,0,24,-0.44928485,-0.5550418,0.7373926
0,0,25,-0.45563287,-0.5444118,0.7335458
0,0,26,-0.46195284,-0.53372663,0.7296609
0,0,27,-0.4682443,-0.52298677,0.7257381
0,0,28,-0.47450694,-0.51219255,0.7217775
0,0,29,-0.48074028,-0.5013444,0.7177793
0,0,30,-0.48694393,-0.49044257,0.71374357
0,0,31,-0.49311754,-0.47948757,0.7096705
0,0,32,-0.4992607,-0.46847972,0.70556015
0,0,33,-0.505373,-0.45741946,0.70141274
0,0,34,-0.5114541,-0.44630712,0.69722843
0,0,35,-0.5175036,-0.43514314,0.6930073
0,0,36,-0.5235211,-0.42392793,0.68874955
0,0,37,-0.5295063,-0.41266182,0.68445534
0,0,38,-0.53545886,-0.40134522,0.68012476
0,0,39,-0.5413784,-0.38997856,0.67575806
0,0,40,-0.54726446,-0.3785622,0.6713553
0,0,41,-0.55311686,-0.3670966,0.6669167
0,0,42,-0.55893517,-0.35558215,0.66244245
0,0,43,-0.5647191,-0.3440192,0.65793264
0,0,44,-0.57046825,-0.3324082,0.6533874
0,0,45,-0.57618237,-0.32074955,0.64880705
0,0,46,-0.58186114,-0.30904362,0.6441916
0,0,47,-0.58750427,-0.29729083,0.63954127
0,0,48,-0.5931114,-0.28549162,0.6348562
0,0,49,-0.5986822,-0.27364638,0.63013667
0,0,50,-0.6042165,-0.26175553,0.6253827
0,0,51,-0.6097139,-0.24981947,0.62059456
0,0,52,-0.6151742,-0.23783863,0.61577237
0,0,53,-0.620597,-0.2258134,0.6109163
0,0,54,-0.6259821,-0.21374422,0.6060266
0,0,55,-0.63132924,-0.2016315,0.60110337
0,0,56,-0.63663816,-0.18947564,0.59614676
0,0,57,-0.6419086,-0.17727707,0.591157
0,0,58,-0.64714026,-0.16503628,0.5861343
0,0,59,-0.652333,-0.15275353,0.58107877
0,0,60,-0.65748656,-0.14042933,0.57599056
0,0,61,-0.66260064,-0.1280641,0.57086986
0,0,62,-0.667675,-0.11565825,0.5657169
0,0,63,-0.67270947,-0.103212215,0.56053185
0,0,64,-0.6777038,-0.090726405,0.55531484
0,0,65,-0.6826578,-0.07820125,0.5500661
0,0,66,-0.6875712,-0.065637164,0.5447858
0,0,67,-0.6924439,-0.053034574,0.53947407
0,0,68,-0.69727564,-0.040393908,0.5341311
0,0,69,-0.70206624,-0.027715588,0.5287571
0,0,70,-0.7068155,-0.01500004,0.52335227
0,0,71,-0.7115232,-0.0022477582,0.51791674
0,0,72,-0.7161892,0.010540968,0.5124507
0,0,73,-0.7208134,0.023365643,0.5069543
0,0,74,-0.7253955,0.03622584,0.50142777
0,0,75,-0.7299354,0.049121134,0.49587128
0,0,76,-0.734433,0.062051095,0.49028498
0,0,77,-0.7388881,0.07501529,0.4846691
0,0,78,-0.7433005,0.0880133,0.47902375
0,0,79,-0.7476701,0.10104469,0.47334915
0,0,80,-0.7519968,0.11410903,0.46764547
0,0,81,-0.7562804,0.1272059,0.46191287
0,0,82,-0.7605208,0.14033486,0.45615157
0,0,83,-0.7647179,0.15349549,0.45036173
0,0,84,-0.7688715,0.16668728,0.44454354
0,0,85,-0.7729815,0.17990994,0.43869713
0,0,86,-0.77704793,0.19316298,0.43282267
0,0,87,-0.78107053,0.20644596,0.42692038
0,0,88,-0.78504926,0.21975845,0.42099044
0,0,89,-0.788984,0.23310003,0.41503298
0,0,90,-0.79287463,0.24647018,0.40904826
0,0,91,-0.7967211,0.2598687,0.40303633
0,0,92,-0.8005233,0.2732949,0.3969975
0,0,93,-0.8042812,0.2867486,0.39093184
0,0,94,-0.8079946,0.30022904,0.38483962
0,0,95,-0.81166357,0.31373617,0.3787209
0,0,96,-0.8152879,0.32726923,0.37257597
0,0,97,-0.8188676,0.34082806,0.3664049
0,0,98,-0.8224026,0.35441196,0.36020795
0,0,99,-0.82589287,0.36802077,0.3539852
0,0,100,-0.82933825,0.38165382,0.34773695
0,0,101,-0.8327388,0.39531094,0.34146324
0,0,102,-0.8360944,0.4089914,0.33516437
0,0,103,-0.839405,0.42269492,0.32884043
0,0,104,-0.8426706,0.43642125,0.32249156
0,0,105,-0.8458912,0.45016962,0.31611806
0,0,106,-0.8490667,0.46393993,0.30971995
0,0,107,-0.852197,0.47773147,0.30329755
0,0,108,-0.8552822,0.4915441,0.2968509
0,0,109,-0.8583222,0.5053771,0.29038027
0,0,110,-0.86131704,0.51923037,0.28388575
0,0,111,-0.8642666,0.5331031,0.27736762
0,0,112,-0.86717093,0.5469952,0.27082592
0,0,113,-0.87003,0.560906,0.26426095
0,0,114,-0.8728438,0.57483536,0.25767276
0,0,115,-0.8756123,0.58878255,0.25106165
0,0,116,-0.87833554,0.60274726,0.24442771
0,0,117,-0.8810135,0.61672926,0.23777105
0,0,118,-0.88364613,0.6307278,0.23109198
0,0,119,-0.8862335,0.64474285,0.22439054
0,0,120,-0.8887756,0.6587736,0.21766703
0,0,121,-0.8912724,0.67282,0.21092148
0,0,122,-0.89372396,0.68688124,0.20415421
0,0,123,-0.89613026,0.7009573,0.19736524
0,0,124,-0.89849126,0.7150474,0.19055489
0,0,125,-0.9008071,0.7291515,0.18372317
0,0,126,-0.90307766,0.7432688,0.1768704
0,0,127,-0.9053031,0.7573992,0.16999663
0,0,128,-0.9074834,0.7715421,0.16310216
0,0,129,-0.90961856,0.7856971,0.15618709
0,0,130,-0.91170865,0.79986405,0.1492515
0,0,131,-0.9137536,0.8140422,0.14229573
0,0,132,-0.9157536,0.82823145,0.13531978
0,0,133,-0.9177086,0.84243107,0.12832399
0,0,134,-0.9196186,0.856641,0.12130837
0,0,135,-0.9214837,0.8708605,0.11427324
0,0,136,-0.92330396,0.8850895,0.10721863
0,0,137,-0.92507935,0.8993273,0.100144856
0,0,138,-0.92681,0.91357374,0.09305193
0,0,139,-0.92849594,0.9278282,0.08594018
0,0,140,-0.9301372,0.9420906,0.07880963
0,0,141,-0.93173385,0.95636016,0.07166059
0,0,142,-0.9332859,0.9706367,0.06449317
0,0,143,-0.9347935,0.98492,0.057307452
0,0,144,-0.9362566,0.99920934,0.050103765
0,0,145,-0.9376753,1.0135046,0.042882122
0,0,146,-0.93904966,1.0278052,0.03564285
0,0,147,-0.9403798,1.0421109,0.028385969
0,0,148,-0.94166577,1.0564212,0.0211118
0,0,149,-0.94290763,1.0707358,0.0138203595
0,0,150,-0.9441054,1.0850542,0.0065119746
0,0,151,-0.9452592,1.0993762,-0.00081333984
0,0,152,-0.9463691,1.1137012,-0.008155258
0,0,153,-0.9474352,1.1280291,-0.015513765
0,0,154,-0.94845754,1.1423593,-0.022888534
0,0,155,-0.94943625,1.1566914,-0.030279469
0,0,156,-0.9503714,1.1710254,-0.037686482
0,0,157,-0.951263,1.1853604,-0.045109246
0,0,158,-0.95211124,1.1996965,-0.052547745
0,0,159,-0.95291615,1.214033,-0.06000165
0,0,160,-0.95367783,1.2283698,-0.06747095
0,0,161,-0.95439637,1.2427063,-0.074955314
0,0,162,-0.95507187,1.2570424,-0.08245473
0,0,163,-0.95570445,1.2713774,-0.089968875
0,0,164,-0.9562942,1.2857113,-0.09749773
0,0,165,-0.9568412,1.3000435,-0.105040975
0,0,166,-0.9573455,1.3143737,-0.11259859
0,0,167,-0.9578073,1.3287016,-0.12017025
0,0,168,-0.9582267,1.3430268,-0.12775587
0,0,169,-0.9586037,1.357349,-0.13535534
0,0,170,-0.9589385,1.3716679,-0.14296836
0,0,171,-0.95923114,1.3859831,-0.15059489
0,0,172,-0.95948184,1.4002942,-0.15823463
0,0,173,-0.95969063,1.414601,-0.16588755
0,0,174,-0.95985764,1.428903,-0.17355332
0,0,175,-0.959983,1.4432,-0.18123195
0,0,176,-0.9600668,1.4574915,-0.18892309
0,0,177,-0.9601092,1.4717774,-0.19662675
0,0,178,-0.96011025,1.4860572,-0.20434259
0,0,179,-0.96007013,1.5003307,-0.2120706
0,0,180,-0.95998895,1.5145975,-0.21981055
0,0,181,-0.9598668,1.5288574,-0.22756225
0,0,182,-0.9597039,1.5431095,-0.23532538
0,0,183,-0.9595003,1.5573545,-0.2431001
0,0,184,-0.9592562,1.5715914,-0.25088608
0,0,185,-0.9589716,1.58582,-0.25868315
0,0,186,-0.95864683,1.6000397,-0.26649097
0,0,187,-0.9582819,1.6142509,-0.27430972
0,0,188,-0.9578769,1.6284529,-0.2821391
0,0,189,-0.9574321,1.6426454,-0.2899789
0,0,190,-0.9569475,1.6568277,-0.2978288
0,0,191,-0.95642334,1.6710002,-0.30568895
0,0,192,-0.9558597,1.6851624,-0.31355903
0,0,193,-0.9552568,1.6993135,-0.32143873
0,0,194,-0.95461476,1.713454,-0.3293282
0,0,195,-0.95393366,1.7275832,-0.33722714
0,0,196,-0.9532137,1.7417008,-0.34513533
0,0,197,-0.95245504,1.7558062,-0.3530525
0,0,198,-0.95165783,1.7698998,-0.36097878
0,0,199,-0.9508222,1.7839811,-0.36891386
0,0,200,-0.94994825,1.7980496,-0.37685758
0,0,201,-0.94903624,1.8121048,-0.3848096
0,0,202,-0.94808626,1.8261471,-0.39277014
0,0,203,-0.9470985,1.8401759,-0.40073884
0,0,204,-0.9460731,1.854191,-0.40871552
0,0,205,-0.94501024,1.8681916,-0.4166999
0,0,206,-0.94391006,1.8821783,-0.4246921
0,0,207,-0.94277275,1.8961505,-0.43269184
0,0,208,-0.9415984,1.9101075,-0.44069877
0,0,209,-0.94038725,1.9240497,-0.4487131
0,0,210,-0.9391394,1.9379767,-0.45673448
0,0,211,-0.9378551,1.9518881,-0.46476275
