fold,seq,t,z1,z2
1,0,0,1.2594233,-0.104179084
1,0,1,1.258119,-0.10754612
1,0,2,1.2568014,-0.110931575
1,0,3,1.2554704,-0.11433544
1,0,4,1.2541261,-0.1177577
1,0,5,1.2527684,-0.12119834
1,0,6,1.2513973,-0.12465735
1,0,7,1.2500128,-0.12813471
1,0,8,1.2486148,-0.1316304
1,0,9,1.2472034,-0.13514443
1,0,10,1.2457784,-0.13867675
1,0,11,1.24434,-0.14222737
1,0,12,1.242888,-0.14579625
1,0,13,1.2414224,-0.14938341
1,0,14,1.2399433,-0.1529888
1,0,15,1.2384506,-0.15661243
1,0,16,1.2369443,-0.16025425
1,0,17,1.2354244,-0.16391426
1,0,18,1.2338909,-0.16759245
1,0,19,1.2323437,-0.17128879
1,0,20,1.2307827,-0.17500326
1,0,21,1.2292081,-0.17873584
1,0,22,1.2276198,-0.1824865
1,0,23,1.2260177,-0.18625525
1,0,24,1.2244018,-0.19004203
1,0,25,1.2227721,-0.19384685
1,0,26,1.2211287,-0.19766968
1,0,27,1.2194715,-0.20151049
1,0,28,1.2178003,-0.20536926
1,0,29,1.2161152,-0.20924596
1,0,30,1.2144164,-0.21314059
1,0,31,1.2127036,-0.2170531
1,0,32,1.2109768,-0.22098348
1,0,33,1.2092361,-0.22493169
1,0,34,1.2074815,-0.22889772
1,0,35,1.2057129,-0.23288155
1,0,36,1.2039304,-0.23688312
1,0,37,1.2021338,-0.24090244
1,0,38,1.2003231,-0.24493946
1,0,39,1.1984984,-0.24899417
1,0,40,1.1966596,-0.25306654
1,0,41,1.1948067,-0.25715652
1,0,42,1.1929398,-0.2612641
1,0,43,1.1910586,-0.26538923
1,0,44,1.1891634,-0.2695319
1,0,45,1.1872541,-0.27369207
1,0,46,1.1853305,-0.27786973
1,0,47,1.1833928,-0.28206483
1,0,48,1.1814408,-0.28627732
1,0,49,1.1794746,-0.2905072
1,0,50,1.1774942,-0.29475442
1,0,51,1.1754994,-0.29901895
1,0,52,1.1734904,-0.30330074
1,0,53,1.1714671,-0.30759978
1,0,54,1.1694294,-0.31191602
1,0,55,1.1673775,-0.31624943
1,0,56,1.1653112,-0.32059997
1,0,57,1.1632305,-0.32496762
1,0,58,1.1611356,-0.32935232
1,0,59,1.1590261,-0.33375406
1,0,60,1.1569023,-0.3381728
1,0,61,1.154764,-0.34260845
1,0,62,1.1526113,-0.34706104
1,0,63,1.150444,-0.3515305
1,0,64,1.1482624,-0.35601678
1,0,65,1.1460662,-0.36051986
1,0,66,1.1438555,-0.36503968
1,0,67,1.1416303,-0.36957622
1,0,68,1.1393906,-0.3741294
1,0,69,1.1371363,-0.37869924
1,0,70,1.1348674,-0.38328564
1,0,71,1.132584,-0.38788855
1,0,72,1.130286,-0.39250797
1,0,73,1.1279733,-0.39714384
1,0,74,1.125646,-0.40179613
1,0,75,1.123304,-0.4064648
1,0,76,1.1209475,-0.41114974
1,0,77,1.1185762,-0.41585097
1,0,78,1.1161902,-0.42056844
1,0,79,1.1137896,-0.42530206
1,0,80,1.1113743,-0.4300518
1,0,81,1.1089442,-0.43481764
1,0,82,1.1064994,-0.4395995
1,0,83,1.1040399,-0.44439736
1,0,84,1.1015656,-0.44921112
1,0,85,1.0990765,-0.4540408
1,0,86,1.0965726,-0.4588863
1,0,87,1.094054,-0.4637476
1,0,88,1.0915205,-0.46862462
1,0,89,1.0889723,-0.47351733
1,0,90,1.0864092,-0.47842562
1,0,91,1.0838313,-0.48334956
1,0,92,1.0812385,-0.48828897
1,0,93,1.0786308,-0.4932439
1,0,94,1.0760083,-0.4982142
1,0,95,1.0733709,-0.5031999
1,0,96,1.0707186,-0.5082008
1,0,97,1.0680515,-0.5132171
1,0,98,1.0653694,-0.5182485
1,0,99,1.0626723,-0.5232951
1,0,100,1.0599602,-0.52835673
1,0,101,1.0572333,-0.53343344
1,0,102,1.0544914,-0.53852504
1,0,103,1.0517346,-0.5436316
1,0,104,1.0489627,-0.5487531
1,0,105,1.0461758,-0.5538893
1,0,106,1.043374,-0.55904025
1,0,107,1.0405571,-0.5642059
1,0,108,1.0377253,-0.5693862
1,0,109,1.0348785,-0.57458097
1,0,110,1.0320166,-0.5797903
1,0,111,1.0291398,-0.58501405
1,0,112,1.0262477,-0.5902522
1,0,113,1.0233408,-0.59550464
1,0,114,1.0204188,-0.6007714
1,0,115,1.0174817,-0.60605234
1,0,116,1.0145295,-0.6113474
1,0,117,1.0115622,-0.61665654
1,0,118,1.00858,-0.62197965
1,0,119,1.0055826,-0.6273168
1,0,120,1.00257,-0.6326677
1,0,121,0.9995424,-0.63803256
1,0,122,0.9964997,-0.6434111
1,0,123,0.9934419,-0.64880335
1,0,124,0.99036896,-0.6542092
1,0,125,0.9872809,-0.6596287
1,0,126,0.98417777,-0.6650616
1,0,127,0.98105943,-0.67050797
1,0,128,0.977926,-0.6759677
1,0,129,0.97477746,-0.6814407
1,0,130,0.9716137,-0.686927
1,0,131,0.9684349,-0.69242644
1,0,132,0.96524084,-0.69793904
1,0,133,0.9620317,-0.7034646
1,0,134,0.9588074,-0.7090032
1,0,135,0.95556796,-0.71455467
1,0,136,0.9523133,-0.720119
1,0,137,0.9490435,-0.7256961
1,0,138,0.9457585,-0.7312859
1,0,139,0.9424584,-0.73688835
1,0,140,0.93914306,-0.7425034
1,0,141,0.93581265,-0.7481309
1,0,142,0.93246704,-0.7537709
1,0,143,0.92910624,-0.75942326
1,0,144,0.9257303,-0.7650879
1,0,145,0.92233914,-0.7707648
1,0,146,0.91893286,-0.77645385
1,0,147,0.91551137,-0.78215504
1,0,148,0.91207474,-0.7878682
1,0,149,0.90862286,-0.7935934
1,0,150,0.90515584,-0.7993304
1,0,151,0.9016736,-0.80507934
1,0,152,0.89817625,-0.81083995
1,0,153,0.8946637,-0.8166123
1,0,154,0.891136,-0.8223962
1,0,155,0.88759315,-0.8281917
1,0,156,0.8840351,-0.83399874
1,0,157,0.88046193,-0.83981717
1,0,158,0.87687355,-0.845647
1,0,159,0.87327003,-0.85148805
1,0,160,0.8696513,-0.8573404
1,0,161,0.86601746,-0.8632038
1,0,162,0.8623684,-0.8690784
1,0,163,0.85870427,-0.87496394
1,0,164,0.85502493,-0.8808605
1,0,165,0.8513305,-0.8867679
1,0,166,0.8476209,-0.8926862
1,0,167,0.8438962,-0.8986151
1,0,168,0.8401564,-0.9045548
1,0,169,0.83640134,-0.9105051
1,0,170,0.83263123,-0.91646594
1,0,171,0.828846,-0.9224373
1,0,172,0.82504565,-0.92841905
1,0,173,0.8212302,-0.9344112
1,0,174,0.8173996,-0.9404136
1,0,175,0.8135539,-0.9464263
1,0,176,0.8096932,-0.952449
1,0,177,0.80581737,-0.95848197
1,0,178,0.8019265,-0.96452487
1,0,179,0.7980205,-0.97057784
1,0,180,0.7940994,-0.9766407
1,0,181,0.7901633,-0.9827134
1,0,182,0.7862121,-0.9887959
1,0,183,0.78224593,-0.99488795
1,0,184,0.77826464,-1.0009898
1,0,185,0.77426845,-1.007101
1,0,186,0.7702571,-1.013222
1,0,187,0.76623076,-1.0193524
1,0,188,0.76218945,-1.0254923
1,0,189,0.7581331,-1.0316415
1,0,190,0.75406176,-1.0378
1,0,191,0.74997556,-1.0439676
1,0,192,0.74587435,-1.0501443
1,0,193,0.7417581,-1.0563303
1,0,194,0.7376269,-1.0625254
1,0,195,0.73348075,-1.0687294
1,0,196,0.7293197,-1.0749424
1,0,197,0.72514373,-1.0811642
1,0,198,0.7209529,-1.0873948
1,0,199,0.71674716,-1.0936342
1,0,200,0.71252656,-1.0998822
1,0,201,0.708291,-1.1061391
1,0,202,0.7040406,-1.1124045
1,0,203,0.6997753,-1.1186785
1,0,204,0.6954951,-1.1249609
1,0,205,0.69120026,-1.1312517
1,0,206,0.6868905,-1.137551
1,0,207,0.682566,-1.1438584
1,0,208,0.6782266,-1.1501744
1,0,209,0.6738724,-1.1564986
1,0,210,0.6695035,-1.1628308
1,0,211,0.6651198,-1.1691712
1,0,212,0.6607214,-1.1755197
1,0,213,0.65630835,-1.1818761
1,0,214,0.6518805,-1.1882405
1,0,215,0.64743805,-1.1946129
1,0,216,0.6429808,-1.2009932
1,0,217,0.6385089,-1.2073814
1,0,218,0.63402236,-1.2137773
1,0,219,0.62952113,-1.220181
1,0,220,0.62500536,-1.2265922
1,0,221,0.62047493,-1.2330112
1,0,222,0.61592996,-1.2394378
1,0,223,0.6113703,-1.245872
1,0,224,0.60679615,-1.2523137
1,0,225,0.6022074,-1.258763
1,0,226,0.59760416,-1.2652196
1,0,227,0.59298635,-1.2716836
1,0,228,0.5883542,-1.2781549
1,0,229,0.5837074,-1.2846335
1,0,230,0.57904625,-1.2911193
1,0,231,0.57437056,-1.2976125
1,0,232,0.56968045,-1.304113
1,0,233,0.5649759,-1.3106207
1,0,234,0.560257,-1.3171353
1,0,235,0.5555238,-1.323657
1,0,236,0.5507762,-1.3301859
1,0,237,0.5460143,-1.3367217
1,0,238,0.541238,-1.3432645
1,0,239,0.5364474,-1.3498143
1,0,240,0.5316425,-1.356371
1,0,241,0.52682334,-1.3629346
1,0,242,0.52198994,-1.369505
1,0,243,0.5171424,-1.3760822
1,0,244,0.5122807,-1.3826661
1,0,245,0.5074047,-1.389257
1,0,246,0.50251454,-1.3958545
1,0,247,0.49761024,-1.4024587
1,0,248,0.49269184,-1.4090695
1,0,249,0.48775935,-1.4156871
1,0,250,0.48281288,-1.4223111
1,0,251,0.47785226,-1.4289418
1,0,252,0.47287768,-1.435579
1,0,253,0.467889,-1.4422227
1,0,254,0.46288633,-1.448873
1,0,255,0.4578697,-1.4555298
1,0,256,0.45283914,-1.4621931
1,0,257,0.44779477,-1.4688627
1,0,258,0.4427364,-1.4755387
1,0,259,0.43766424,-1.4822211
1,0,260,0.43257812,-1.48891
1,0,261,0.42747816,-1.4956052
1,0,262,0.4223644,-1.5023068
1,0,263,0.4172369,-1.5090147
1,0,264,0.4120956,-1.5157288
1,0,265,0.4069407,-1.5224491
1,0,266,0.401772,-1.5291758
1,0,267,0.39658973,-1.5359085
1,0,268,0.3913937,-1.5426476
1,0,269,0.386184,-1.5493928
1,0,270,0.38096073,-1.5561442
1,0,271,0.37572387,-1.5629019
1,0,272,0.37047356,-1.5696654
1,0,273,0.36520964,-1.5764353
1,0,274,0.3599322,-1.5832113
1,0,275,0.3546414,-1.5899932
1,0,276,0.34933704,-1.5967814
1,0,277,0.34401926,-1.6035756
1,0,278,0.3386881,-1.6103759
1,0,279,0.33334368,-1.6171821
1,0,280,0.32798582,-1.6239945
1,0,281,0.32261464,-1.6308129
1,0,282,0.31723028,-1.6376371
1,0,283,0.31183258,-1.6444676
1,0,284,0.30642164,-1.651304
1,0,285,0.3009975,-1.6581464
1,0,286,0.29556018,-1.6649947
1,0,287,0.29010984,-1.6718489
1,0,288,0.28464627,-1.6787091
1,0,289,0.27916974,-1.6855752
1,0,290,0.27368003,-1.6924473
1,0,291,0.2681773,-1.6993253
1,0,292,0.26266158,-1.7062093
1,0,293,0.2571329,-1.7130991
1,0,294,0.25159138,-1.7199948
1,0,295,0.24603686,-1.7268964
1,0,296,0.24046946,-1.733804
1,0,297,0.23488933,-1.7407173
1,0,298,0.22929627,-1.7476366
1,0,299,0.22369042,-1.7545617
1,0,300,0.21807183,-1.7614927
1,0,301,0.21244064,-1.7684294
1,0,302,0.20679665,-1.7753721
1,0,303,0.20113999,-1.7823207
1,0,304,0.19547082,-1.789275
1,0,305,0.18978895,-1.7962353
1,0,306,0.18409452,-1.8032014
1,0,307,0.17838755,-1.8101734
1,0,308,0.17266808,-1.8171511
1,0,309,0.16693628,-1.8241345
1,0,310,0.16119193,-1.8311238
1,0,311,0.15543517,-1.838119
1,0,312,0.14966618,-1.8451198
1,0,313,0.14388472,-1.8521266
1,0,314,0.13809097,-1.8591392
1,0,315,0.13228495,-1.8661577
1,0,316,0.12646683,-1.8731817
1,0,317,0.120636374,-1.8802117
