fold,seq,t,z1,z2
8,0,0,-1.8235571,0.098648176
8,0,1,-1.821395,0.10205251
8,0,2,-1.819205,0.10543361
8,0,3,-1.8169872,0.10879142
8,0,4,-1.8147413,0.11212585
8,0,5,-1.8124673,0.11543683
8,0,6,-1.8101654,0.11872428
8,0,7,-1.8078353,0.12198813
8,0,8,-1.8054773,0.12522832
8,0,9,-1.8030909,0.12844475
8,0,10,-1.8006765,0.13163735
8,0,11,-1.7982339,0.13480607
8,0,12,-1.795763,0.13795081
8,0,13,-1.7932639,0.1410715
8,0,14,-1.7907364,0.14416808
8,0,15,-1.7881807,0.14724046
8,0,16,-1.7855966,0.15028858
8,0,17,-1.7829841,0.15331236
8,0,18,-1.7803432,0.15631172
8,0,19,-1.7776737,0.15928659
8,0,20,-1.7749758,0.1622369
8,0,21,-1.7722493,0.16516258
8,0,22,-1.7694944,0.16806355
8,0,23,-1.7667109,0.17093973
8,0,24,-1.7638987,0.17379105
8,0,25,-1.761058,0.17661746
8,0,26,-1.7581885,0.17941886
8,0,27,-1.7552904,0.18219519
8,0,28,-1.7523636,0.18494636
8,0,29,-1.749408,0.1876723
8,0,30,-1.7464236,0.19037296
8,0,31,-1.7434103,0.19304825
8,0,32,-1.7403682,0.19569811
8,0,33,-1.7372973,0.19832246
8,0,34,-1.7341975,0.20092122
8,0,35,-1.7310687,0.20349433
8,0,36,-1.727911,0.2060417
8,0,37,-1.7247243,0.20856327
8,0,38,-1.7215085,0.21105897
8,0,39,-1.7182637,0.21352874
8,0,40,-1.7149899,0.21597248
8,0,41,-1.711687,0.21839015
8,0,42,-1.708355,0.22078165
8,0,43,-1.7049937,0.22314693
8,0,44,-1.7016033,0.2254859
8,0,45,-1.6981837,0.2277985
8,0,46,-1.6947348,0.23008466
8,0,47,-1.6912568,0.2323443
8,0,48,-1.6877494,0.23457736
8,0,49,-1.6842127,0.23678376
8,0,50,-1.6806467,0.23896343
8,0,51,-1.6770513,0.2411163
8,0,52,-1.6734265,0.24324231
8,0,53,-1.6697723,0.24534138
8,0,54,-1.6660886,0.24741344
8,0,55,-1.6623755,0.24945843
8,0,56,-1.6586329,0.25147626
8,0,57,-1.6548607,0.25346687
8,0,58,-1.6510592,0.2554302
8,0,59,-1.6472279,0.25736618
8,0,60,-1.643367,0.25927472
8,0,61,-1.6394767,0.26115578
8,0,62,-1.6355566,0.26300928
8,0,63,-1.6316068,0.26483515
8,0,64,-1.6276274,0.2666333
8,0,65,-1.6236182,0.26840368
8,0,66,-1.6195794,0.27014622
8,0,67,-1.6155108,0.27186087
8,0,68,-1.6114125,0.27354753
8,0,69,-1.6072844,0.27520615
8,0,70,-1.6031265,0.27683666
8,0,71,-1.5989388,0.278439
8,0,72,-1.5947212,0.28001308
8,0,73,-1.5904737,0.28155887
8,0,74,-1.5861963,0.2830763
8,0,75,-1.581889,0.28456524
8,0,76,-1.5775518,0.2860257
8,0,77,-1.5731846,0.2874576
8,0,78,-1.5687875,0.28886083
8,0,79,-1.5643603,0.29023534
8,0,80,-1.5599031,0.2915811
8,0,81,-1.555416,0.292898
8,0,82,-1.5508988,0.294186
8,0,83,-1.5463514,0.29544502
8,0,84,-1.541774,0.296675
8,0,85,-1.5371666,0.29787588
8,0,86,-1.532529,0.2990476
8,0,87,-1.5278612,0.30019006
8,0,88,-1.5231633,0.30130327
8,0,89,-1.5184352,0.3023871
8,0,90,-1.513677,0.3034415
8,0,91,-1.5088885,0.30446643
8,0,92,-1.5040698,0.3054618
8,0,93,-1.4992208,0.30642757
8,0,94,-1.4943417,0.30736366
8,0,95,-1.4894323,0.30827
8,0,96,-1.4844928,0.30914655
8,0,97,-1.4795228,0.30999327
8,0,98,-1.4745226,0.31081003
8,0,99,-1.4694921,0.31159684
8,0,100,-1.4644313,0.31235358
8,0,101,-1.4593401,0.31308022
8,0,102,-1.4542186,0.3137767
8,0,103,-1.4490668,0.31444296
8,0,104,-1.4438845,0.31507894
8,0,105,-1.438672,0.31568456
8,0,106,-1.433429,0.31625977
8,0,107,-1.4281557,0.31680453
8,0,108,-1.4228519,0.31731877
8,0,109,-1.4175178,0.31780243
8,0,110,-1.4121532,0.31825545
8,0,111,-1.4067583,0.31867778
8,0,112,-1.4013329,0.31906936
8,0,113,-1.395877,0.3194301
8,0,114,-1.3903906,0.31976002
8,0,115,-1.384874,0.320059
8,0,116,-1.3793268,0.32032698
8,0,117,-1.3737491,0.32056394
8,0,118,-1.368141,0.32076982
8,0,119,-1.3625025,0.32094455
8,0,120,-1.3568335,0.32108808
8,0,121,-1.351134,0.32120034
8,0,122,-1.345404,0.3212813
8,0,123,-1.3396436,0.3213309
8,0,124,-1.3338528,0.32134908
8,0,125,-1.3280314,0.32133582
8,0,126,-1.3221796,0.32129103
8,0,127,-1.3162972,0.32121468
8,0,128,-1.3103844,0.3211067
8,0,129,-1.3044412,0.32096705
8,0,130,-1.2984675,0.32079566
8,0,131,-1.2924634,0.3205925
8,0,132,-1.2864288,0.3203575
8,0,133,-1.2803638,0.32009065
8,0,134,-1.2742683,0.31979188
8,0,135,-1.2681423,0.31946114
8,0,136,-1.2619859,0.31909835
8,0,137,-1.255799,0.3187035
8,0,138,-1.2495817,0.31827655
8,0,139,-1.243334,0.31781745
8,0,140,-1.2370559,0.31732613
8,0,141,-1.2307475,0.31680256
8,0,142,-1.2244086,0.3162467
8,0,143,-1.2180394,0.31565848
8,0,144,-1.2116398,0.31503788
8,0,145,-1.2052097,0.31438485
8,0,146,-1.1987494,0.31369933
8,0,147,-1.1922587,0.3129813
8,0,148,-1.1857378,0.31223074
8,0,149,-1.1791866,0.31144756
8,0,150,-1.1726052,0.31063175
8,0,151,-1.1659933,0.30978325
8,0,152,-1.1593513,0.30890203
8,0,153,-1.1526791,0.30798805
8,0,154,-1.1459767,0.30704126
8,0,155,-1.1392441,0.30606163
8,0,156,-1.1324812,0.30504912
8,0,157,-1.1256883,0.30400372
8,0,158,-1.1188653,0.30292535
8,0,159,-1.1120121,0.301814
8,0,160,-1.1051289,0.3006696
8,0,161,-1.0982156,0.29949218
8,0,162,-1.0912722,0.29828164
8,0,163,-1.084299,0.297038
8,0,164,-1.0772957,0.29576117
8,0,165,-1.0702624,0.29445118
8,0,166,-1.0631993,0.29310796
8,0,167,-1.0561062,0.2917315
8,0,168,-1.0489833,0.29032177
8,0,169,-1.0418305,0.28887868
8,0,170,-1.0346481,0.28740227
8,0,171,-1.0274358,0.2858925
8,0,172,-1.0201938,0.28434932
8,0,173,-1.012922,0.28277272
8,0,174,-1.0056207,0.28116268
8,0,175,-0.9982897,0.27951914
8,0,176,-0.99092925,0.2778421
8,0,177,-0.98353916,0.2761315
8,0,178,-0.97611964,0.2743874
8,0,179,-0.9686706,0.27260968
8,0,180,-0.96119213,0.2707984
8,0,181,-0.95368433,0.26895344
8,0,182,-0.9461472,0.26707488
8,0,183,-0.93858093,0.26516268
8,0,184,-0.9309853,0.26321676
8,0,185,-0.9233606,0.2612372
8,0,186,-0.91570663,0.25922388
8,0,187,-0.9080236,0.25717682
8,0,188,-0.9003115,0.255096
8,0,189,-0.8925705,0.2529814
8,0,190,-0.88480055,0.25083303
8,0,191,-0.8770019,0.24865091
8,0,192,-0.8691744,0.24643497
8,0,193,-0.861318,0.24418516
8,0,194,-0.8534329,0.24190152
8,0,195,-0.8455191,0.23958403
8,0,196,-0.8375768,0.23723269
8,0,197,-0.82960594,0.23484747
8,0,198,-0.8216068,0.23242843
8,0,199,-0.8135791,0.22997545
8,0,200,-0.8055232,0.22748862
8,0,201,-0.7974389,0.22496785
8,0,202,-0.7893264,0.22241318
8,0,203,-0.7811858,0.2198246
8,0,204,-0.7730171,0.2172021
8,0,205,-0.76482064,0.21454573
8,0,206,-0.756596,0.21185538
8,0,207,-0.74834377,0.20913118
8,0,208,-0.7400636,0.20637299
8,0,209,-0.73175573,0.20358089
8,0,210,-0.72342026,0.20075485
8,0,211,-0.71505725,0.1978949
8,0,212,-0.70666677,0.19500102
8,0,213,-0.6982491,0.1920733
8,0,214,-0.68980396,0.1891116
8,0,215,-0.68133175,0.18611605
8,0,216,-0.67283225,0.18308654
8,0,217,-0.66430575,0.18002313
8,0,218,-0.6557523,0.17692584
8,0,219,-0.647172,0.17379466
8,0,220,-0.63856506,0.17062968
8,0,221,-0.6299313,0.16743077
8,0,222,-0.6212711,0.16419809
8,0,223,-0.61258423,0.16093148
8,0,224,-0.603871,0.15763105
8,0,225,-0.5951314,0.15429682
8,0,226,-0.58636564,0.15092877
8,0,227,-0.5775738,0.14752693
8,0,228,-0.5687561,0.1440914
8,0,229,-0.5599123,0.14062203
8,0,230,-0.5510429,0.13711901
8,0,231,-0.54214764,0.13358219
8,0,232,-0.5332267,0.13001168
8,0,233,-0.52428037,0.12640747
8,0,234,-0.5153086,0.12276962
8,0,235,-0.5063118,0.119098194
8,0,236,-0.4972896,0.11539308
8,0,237,-0.48824257,0.111654446
8,0,238,-0.4791704,0.107882164
8,0,239,-0.47007346,0.10407633
8,0,240,-0.4609518,0.10023698
8,0,241,-0.45180556,0.09636413
8,0,242,-0.44263485,0.092457816
8,0,243,-0.43344,0.08851814
8,0,244,-0.42422092,0.08454506
8,0,245,-0.41497755,0.08053851
8,0,246,-0.40571022,0.076498605
8,0,247,-0.39641902,0.07242538
8,0,248,-0.3871041,0.068318866
8,0,249,-0.3777656,0.06417909
8,0,250,-0.36840382,0.060006183
8,0,251,-0.3590185,0.055799995
8,0,252,-0.34961018,0.05156074
8,0,253,-0.34017858,0.04728828
8,0,254,-0.33072406,0.042982735
8,0,255,-0.32124674,0.038644142
8,0,256,-0.31174675,0.034272544
8,0,257,-0.30222443,0.02986807
8,0,258,-0.29267952,0.025430573
8,0,259,-0.28311256,0.020960283
8,0,260,-0.2735233,0.01645705
8,0,261,-0.26391208,0.011921011
8,0,262,-0.25427905,0.007352209
8,0,263,-0.24462433,0.0027506868
8,0,264,-0.23494808,-0.0018835114
8,0,265,-0.22525066,-0.0065502403
8,0,266,-0.2155318,-0.011249654
8,0,267,-0.20579207,-0.015981505
8,0,268,-0.1960312,-0.020745948
8,0,269,-0.18624954,-0.025542835
8,0,270,-0.17644726,-0.030372115
8,0,271,-0.16662452,-0.03523374
8,0,272,-0.15678166,-0.040127557
8,0,273,-0.14691843,-0.04505372
8,0,274,-0.1370352,-0.050012078
8,0,275,-0.12713236,-0.055002466
8,0,276,-0.11720961,-0.060025048
8,0,277,-0.10726734,-0.06507966
8,0,278,-0.097305715,-0.07016625
8,0,279,-0.0873251,-0.07528466
8,0,280,-0.07732525,-0.08043504
8,0,281,-0.06730652,-0.08561723
8,0,282,-0.057269305,-0.09083106
8,0,283,-0.047213346,-0.0960767
8,0,284,-0.037139017,-0.101353966
8,0,285,-0.02704649,-0.10666281
8,0,286,-0.016935935,-0.11200317
8,0,287,-0.006807737,-0.11737487
8,0,288,0.0033383612,-0.122778066
8,0,289,0.013501758,-0.12821248
8,0,290,0.023682712,-0.13367827
8,0,291,0.03388083,-0.13917527
8,0,292,0.04409594,-0.14470339
8,0,293,0.054327868,-0.15026258
8,0,294,0.064576216,-0.15585266
8,0,295,0.074841246,-0.1614738
8,0,296,0.085122555,-0.16712579
8,0,297,0.09541975,-0.17280847
8,0,298,0.1057331,-0.17852199
8,0,299,0.11606219,-0.18426618
8,0,300,0.12640683,-0.19004095
8,0,301,0.13676664,-0.19584611
8,0,302,0.14714187,-0.20168184
8,0,303,0.15753213,-0.20754793
8,0,304,0.167937,-0.21344419
8,0,305,0.17835674,-0.2193708
8,0,306,0.18879093,-0.22532755
8,0,307,0.1992394,-0.23131436
8,0,308,0.20970197,-0.23733117
8,0,309,0.22017823,-0.24337776
8,0,310,0.23066843,-0.2494543
8,0,311,0.24117215,-0.2555606
8,0,312,0.251689,-0.26169646
8,0,313,0.26221922,-0.26786202
8,0,314,0.27276242,-0.2740571
8,0,315,0.2833184,-0.28028157
8,0,316,0.29388675,-0.28653526
8,0,317,0.3044677,-0.29281837
8,0,318,0.31506088,-0.29913062
8,0,319,0.32566586,-0.30547184
8,0,320,0.33628288,-0.31184217
8,0,321,0.34691155,-0.31824142
8,0,322,0.35755166,-0.32466948
8,0,323,0.3682028,-0.33112615
8,0,324,0.3788652,-0.3376116
8,0,325,0.3895385,-0.34412557
8,0,326,0.40022245,-0.350668
8,0,327,0.4109167,-0.35723868
8,0,328,0.42162144,-0.36383775
8,0,329,0.43233627,-0.370465
8,0,330,0.44306102,-0.37712035
8,0,331,0.45379525,-0.38380352
8,0,332,0.46453923,-0.3905147
8,0,333,0.47529253,-0.39725366
8,0,334,0.48605475,-0.4040202
8,0,335,0.49682614,-0.41081443
8,0,336,0.50760627,-0.41763616
8,0,337,0.51839495,-0.42448527
8,0,338,0.5291918,-0.4313615
8,0,339,0.53999704,-0.43826506
8,0,340,0.5508103,-0.44519567
8,0,341,0.5616313,-0.45215327
8,0,342,0.5724597,-0.45913756
8,0,343,0.5832957,-0.46614873
8,0,344,0.5941389,-0.47318655
8,0,345,0.6049892,-0.48025092
8,0,346,0.61584604,-0.48734155
8,0,347,0.62670976,-0.49445865
8,0,348,0.63758,-0.50160193
8,0,349,0.6484562,-0.5087711
8,0,350,0.6593388,-0.5159665
8,0,351,0.67022717,-0.52318764
8,0,352,0.6811213,-0.53043455
8,0,353,0.69202065,-0.5377069
8,0,354,0.7029256,-0.54500496
8,0,355,0.7138357,-0.5523284
8,0,356,0.72475076,-0.5596771
8,0,357,0.7356703,-0.5670508
8,0,358,0.74659467,-0.57444966
8,1,0,1.1079209,1.3606809
8,1,1,1.1194961,1.353596
8,1,2,1.1310949,1.3464806
8,1,3,1.1427172,1.3393348
8,1,4,1.1543629,1.3321586
8,1,5,1.166032,1.3249518
8,1,6,1.1777242,1.3177145
8,1,7,1.1894398,1.3104465
8,1,8,1.2011784,1.303148
8,1,9,1.2129401,1.2958189
8,1,10,1.2247248,1.2884592
8,1,11,1.2365323,1.2810688
8,1,12,1.2483628,1.2736477
8,1,13,1.260216,1.2661959
8,1,14,1.2720919,1.2587134
8,1,15,1.2839903,1.2512001
8,1,16,1.2959112,1.2436559
8,1,17,1.3078545,1.236081
8,1,18,1.3198202,1.2284752
8,1,19,1.3318081,1.2208387
8,1,20,1.3438182,1.2131712
8,1,21,1.3558503,1.205473
8,1,22,1.3679044,1.1977437
8,1,23,1.3799803,1.1899835
8,1,24,1.392078,1.1821923
8,1,25,1.4041973,1.1743703
8,1,26,1.4163382,1.1665173
8,1,27,1.4285005,1.1586332
8,1,28,1.4406842,1.1507182
8,1,29,1.452889,1.1427722
8,1,30,1.465115,1.1347952
8,1,31,1.4773619,1.1267872
8,1,32,1.4896297,1.1187481
8,1,33,1.5019183,1.110678
8,1,34,1.5142275,1.1025767
8,1,35,1.5265572,1.0944445
8,1,36,1.5389072,1.0862813
8,1,37,1.5512774,1.078087
8,1,38,1.5636678,1.0698617
8,1,39,1.5760782,1.0616052
8,1,40,1.5885084,1.0533178
8,1,41,1.6009582,1.0449992
8,1,42,1.6134276,1.0366497
8,1,43,1.6259166,1.0282692
8,1,44,1.6384248,1.0198575
8,1,45,1.6509521,1.0114149
8,1,46,1.6634984,1.0029413
8,1,47,1.6760635,0.9944367
8,1,48,1.6886474,0.9859011
8,1,49,1.7012498,0.9773346
8,1,50,1.7138706,0.9687372
8,1,51,1.7265097,0.9601088
8,1,52,1.7391667,0.9514496
8,1,53,1.7518418,0.94275945
8,1,54,1.7645346,0.9340385
8,1,55,1.7772449,0.92528677
8,1,56,1.7899727,0.91650426
8,1,57,1.8027177,0.907691
8,1,58,1.8154798,0.8988471
8,1,59,1.8282588,0.88997245
8,1,60,1.8410544,0.8810672
8,1,61,1.8538667,0.87213135
8,1,62,1.8666953,0.86316496
8,1,63,1.8795401,0.85416806
8,1,64,1.892401,0.8451407
8,1,65,1.9052777,0.83608294
8,1,66,1.9181701,0.82699484
8,1,67,1.931078,0.81787646
8,1,68,1.9440011,0.80872786
8,1,69,1.9569392,0.7995491
8,1,70,1.9698923,0.7903402
8,1,71,1.98286,0.7811013
8,1,72,1.9958423,0.77183235
8,1,73,2.008839,0.7625335
8,1,74,2.0218496,0.7532048
8,1,75,2.0348744,0.74384636
8,1,76,2.0479128,0.7344582
8,1,77,2.0609648,0.72504044
8,1,78,2.0740302,0.71559316
8,1,79,2.0871086,0.70611644
8,1,80,2.1002002,0.69661033
8,1,81,2.1133044,0.68707496
8,1,82,2.1264212,0.67751044
8,1,83,2.1395502,0.66791683
8,1,84,2.1526914,0.65829426
8,1,85,2.1658444,0.6486428
8,1,86,2.1790094,0.6389625
8,1,87,2.1921859,0.6292535
8,1,88,2.2053735,0.61951596
8,1,89,2.2185724,0.6097499
8,1,90,2.231782,0.59995556
8,1,91,2.2450025,0.5901329
8,1,92,2.2582333,0.58028215
8,1,93,2.2714746,0.57040334
8,1,94,2.284726,0.5604967
8,1,95,2.2979872,0.5505622
8,1,96,2.3112578,0.5406002
8,1,97,2.3245382,0.5306105
8,1,98,2.3378277,0.5205936
8,1,99,2.3511262,0.5105493
8,1,100,2.3644335,0.500478
8,1,101,2.3777497,0.49037963
8,1,102,2.391074,0.4802545
8,1,103,2.4044065,0.4701027
8,1,104,2.4177473,0.45992422
8,1,105,2.4310956,0.44971946
8,1,106,2.4444516,0.43948832
8,1,107,2.457815,0.42923117
8,1,108,2.4711857,0.41894796
8,1,109,2.484563,0.40863907
8,1,110,2.4979475,0.39830443
8,1,111,2.5113382,0.3879444
8,1,112,2.5247357,0.37755895
8,1,113,2.538139,0.36714843
8,1,114,2.5515485,0.35671282
8,1,115,2.5649636,0.34625247
8,1,116,2.5783842,0.33576745
8,1,117,2.5918105,0.32525784
8,1,118,2.6052418,0.314724
8,1,119,2.618678,0.3041659
8,1,120,2.6321192,0.29358396
8,1,121,2.645565,0.2829781
8,1,122,2.6590152,0.2723487
8,1,123,2.6724696,0.26169577
8,1,124,2.6859279,0.2510197
8,1,125,2.6993902,0.24032041
8,1,126,2.712856,0.22959836
8,1,127,2.7263255,0.21885347
8,1,128,2.739798,0.20808618
8,1,129,2.7532737,0.19729653
8,1,130,2.7667525,0.18648462
8,1,131,2.7802339,0.17565086
8,1,132,2.7937179,0.16479522
8,1,133,2.807204,0.1539181
8,1,134,2.8206925,0.14301948
8,1,135,2.834183,0.13209978
8,1,136,2.8476753,0.12115896
8,1,137,2.8611693,0.11019744
8,1,138,2.874665,0.09921519
8,1,139,2.888162,0.08821263
8,1,140,2.90166,0.077189736
8,1,141,2.915159,0.06614693
8,1,142,2.928659,0.055084296
8,1,143,2.9421597,0.04400191
8,1,144,2.9556608,0.032900207
8,1,145,2.9691625,0.02177915
8,1,146,2.982664,0.010639174
8,1,147,2.996166,-0.000519759
8,1,148,3.0096676,-0.011697213
8,1,149,3.023169,-0.022893228
8,1,150,3.03667,-0.034107365
8,1,151,3.0501704,-0.045339663
8,1,152,3.0636702,-0.056589685
8,1,153,3.0771692,-0.067857474
8,1,154,3.090667,-0.079142585
8,1,155,3.1041636,-0.09044494
8,1,156,3.117659,-0.101764455
8,1,157,3.131153,-0.11310071
8,1,158,3.1446457,-0.12445373
8,1,159,3.1581364,-0.13582309
8,1,160,3.1716254,-0.14720881
