fold,seq,t,z1,z2
3,0,0,-0.35711825,-1.121121
3,0,1,-0.36167485,-1.1323566
3,0,2,-0.36618736,-1.1436564
3,0,3,-0.3706554,-1.1550198
3,0,4,-0.37507844,-1.1664466
3,0,5,-0.37945613,-1.1779363
3,0,6,-0.38378805,-1.1894885
3,0,7,-0.38807377,-1.2011029
3,0,8,-0.39231288,-1.2127789
3,0,9,-0.39650503,-1.2245163
3,0,10,-0.40064982,-1.2363145
3,0,11,-0.40474686,-1.2481732
3,0,12,-0.4087958,-1.260092
3,0,13,-0.41279626,-1.2720704
3,0,14,-0.4167479,-1.2841079
3,0,15,-0.4206504,-1.2962042
3,0,16,-0.4245034,-1.3083588
3,0,17,-0.42830655,-1.3205712
3,0,18,-0.4320596,-1.3328409
3,0,19,-0.43576217,-1.3451676
3,0,20,-0.439414,-1.3575507
3,0,21,-0.44301477,-1.3699898
3,0,22,-0.4465642,-1.3824843
3,0,23,-0.450062,-1.3950338
3,0,24,-0.45350793,-1.407638
3,0,25,-0.4569017,-1.4202961
3,0,26,-0.46024305,-1.4330078
3,0,27,-0.46353173,-1.4457726
3,0,28,-0.46676752,-1.45859
3,0,29,-0.46995017,-1.4714594
3,0,30,-0.47307947,-1.4843804
3,0,31,-0.4761552,-1.4973525
3,0,32,-0.47917712,-1.5103751
3,0,33,-0.48214504,-1.5234478
3,0,34,-0.48505878,-1.53657
3,0,35,-0.48791817,-1.5497411
3,0,36,-0.49072298,-1.5629607
3,0,37,-0.49347305,-1.5762284
3,0,38,-0.49616823,-1.5895435
3,0,39,-0.49880835,-1.6029054
3,0,40,-0.50139326,-1.6163137
3,0,41,-0.5039228,-1.6297679
3,0,42,-0.5063969,-1.6432673
3,0,43,-0.5088153,-1.6568115
3,0,44,-0.51117796,-1.6703999
3,0,45,-0.5134848,-1.684032
3,0,46,-0.51573557,-1.6977072
3,0,47,-0.51793027,-1.711425
3,0,48,-0.5200688,-1.7251848
3,0,49,-0.52215105,-1.7389861
3,0,50,-0.52417696,-1.7528285
3,0,51,-0.5261464,-1.7667111
3,0,52,-0.5280593,-1.7806337
3,0,53,-0.52991563,-1.7945955
3,0,54,-0.5317153,-1.808596
3,0,55,-0.53345823,-1.8226347
3,0,56,-0.53514445,-1.836711
3,0,57,-0.5367738,-1.8508245
3,0,58,-0.5383463,-1.8649743
3,0,59,-0.5398619,-1.87916
3,0,60,-0.5413206,-1.8933812
3,0,61,-0.5427224,-1.9076372
3,0,62,-0.5440672,-1.9219276
3,0,63,-0.545355,-1.9362516
3,0,64,-0.54658586,-1.9506088
3,0,65,-0.5477597,-1.9649986
3,0,66,-0.5488766,-1.9794204
3,0,67,-0.5499364,-1.9938737
3,0,68,-0.55093926,-2.008358
3,0,69,-0.5518851,-2.0228727
3,0,70,-0.5527741,-2.0374172
3,0,71,-0.55360603,-2.0519907
3,0,72,-0.5543811,-2.0665932
3,0,73,-0.55509925,-2.0812237
3,0,74,-0.5557605,-2.0958817
3,0,75,-0.55636495,-2.1105669
3,0,76,-0.5569126,-2.1252785
3,0,77,-0.55740345,-2.140016
3,0,78,-0.55783755,-2.154779
