timestep,rmse_model_mean,rmse_model_sd,rmse_base_mean,rmse_base_sd
0,43.131763,28.16072,17.848267,1.4742532
1,24.27778,8.776932,17.796759,1.4712368
2,20.28019,4.6179967,17.74534,1.4681729
3,19.29957,4.1042247,17.694454,1.4649822
4,18.539341,3.3103163,17.64467,1.4615395
5,17.793663,2.089205,17.596493,1.4578477
6,17.799585,1.9337323,17.550257,1.4540677
7,17.872128,2.7157843,17.506067,1.4504296
8,17.44498,1.4842119,17.463827,1.4470285
9,17.019024,1.008937,17.423294,1.4437008
10,16.87988,1.2164273,17.384087,1.4400446
11,16.491995,1.2619307,17.345707,1.4355749
12,16.746464,1.90826,17.307522,1.4299198
13,16.425251,1.3103124,17.26879,1.422949
14,16.227327,1.2383928,17.22874,1.4147887
15,16.598873,1.3601667,17.186728,1.4057436
16,16.638058,1.2110975,17.142513,1.3961158
17,16.388332,1.1232356,17.096668,1.3859967
18,15.875845,1.1629405,17.051008,1.3751006
19,15.826582,0.9645219,17.008741,1.3628454
20,15.998571,1.3408638,16.974054,1.3487614
21,16.081367,0.8665374,16.951067,1.3330501
22,16.05695,1.2445313,16.942667,1.316955
23,16.256723,1.2001541,16.949741,1.3025767
24,15.941852,1.0985837,16.971285,1.2923048
25,16.12212,0.99923044,17.005173,1.2881864
26,16.404205,1.3678523,17.049131,1.2915133
27,16.623264,1.8591454,17.10144,1.3027256
28,16.063528,1.4094008,17.161205,1.3214986
29,16.477821,1.6568958,17.228222,1.3469921
30,16.340551,1.662214,17.302721,1.3781935
31,16.724865,1.5586417,17.385094,1.4142144
32,16.72192,1.3467124,17.475735,1.4544886
33,17.071804,1.5398457,17.574953,1.4987752
34,16.865433,0.94374925,17.682974,1.5471027
35,17.115622,1.4065989,17.799984,1.5997026
36,17.24055,1.4068227,17.926115,1.6569271
37,17.121103,1.5102556,18.061438,1.7191172
38,17.098293,1.4839563,18.205906,1.7864512
39,17.17353,1.4152775,18.359316,1.8588737
40,17.633862,1.6383053,18.521275,1.9360988
41,17.608795,1.6504191,18.691216,2.0176716
42,17.58687,1.7767981,18.86839,2.1030462
43,18.142483,2.0229597,19.051836,2.1916602
44,18.327839,2.1367989,19.240307,2.2829757
45,18.67706,2.3676164,19.432312,2.3764923
46,18.521593,2.355542,19.626211,2.4717565
47,18.9115,2.4781387,19.8204,2.568379
48,19.33012,2.5197244,20.013432,2.666029
49,19.096523,2.4381676,20.204086,2.76443
50,19.099844,2.435238,20.391386,2.863332
51,19.622997,2.4167817,20.574495,2.9625158
52,19.512932,2.7165473,20.752693,3.0617914
53,19.721895,2.8722963,20.925346,3.1610029
54,19.853243,2.9734533,21.091833,3.26002
55,20.075329,3.1702554,21.251463,3.3587317
56,20.216333,3.1786728,21.403383,3.4570627
57,20.610718,3.5268316,21.546642,3.5549707
58,20.75942,3.8233256,21.68029,3.6524107
59,20.550333,3.0524316,21.803537,3.749318
60,20.643892,3.145954,21.915808,3.8455932
61,20.645432,3.7355993,22.01673,3.9411044
62,21.501596,3.90726,22.106104,4.0356784
63,21.630056,3.6702762,22.183908,4.1290874
64,21.216545,3.3408682,22.25035,4.22105
65,21.170403,3.911522,22.3059,4.3112545
66,21.224943,3.9722347,22.351171,4.3994336
67,21.46987,3.9616737,22.3868,4.4854136
68,21.346632,4.249917,22.413317,4.569095
69,21.236004,4.344753,22.431126,4.6503987
70,21.379717,4.560403,22.440557,4.729234
71,21.33363,4.1786656,22.441856,4.8054767
72,21.605616,3.9755929,22.43517,4.8790064
73,21.10363,4.1418815,22.420475,4.94973
74,20.887272,4.255067,22.397562,5.0175796
75,21.013407,4.3509245,22.365995,5.082477
76,20.972971,4.5479455,22.325205,5.144287
