timestep,rmse_model_mean,rmse_model_sd,rmse_base_mean,rmse_base_sd
133,19.739635,1.9579363,21.14973,2.341933
134,19.354015,2.04644,21.208893,2.306423
135,19.612284,2.0151105,21.283365,2.2726436
136,19.803942,1.8901232,21.372763,2.2411702
137,19.701778,1.9655005,21.47668,2.2125783
138,19.683537,1.6781042,21.594563,2.1871645
139,20.112339,2.003306,21.725677,2.164897
140,20.345146,1.6463853,21.869251,2.145563
141,19.929823,1.6007968,22.02458,2.1290014
142,20.022469,1.8543237,22.191074,2.1151953
143,20.082424,1.7961707,22.368107,2.104222
144,20.268967,1.8685701,22.554897,2.0961661
145,20.180113,1.9611397,22.750479,2.0911186
146,20.426985,1.649507,22.953802,2.0891998
147,20.45161,1.638944,23.163914,2.0905113
148,20.427687,1.9579787,23.379967,2.0949678
149,20.619808,1.5639427,23.601147,2.1022732
150,20.850578,1.3392819,23.826593,2.1121118
151,20.748075,1.613706,24.055374,2.1243804
152,20.884968,1.4145314,24.286562,2.139218
153,21.20988,1.6871681,24.519384,2.1568198
154,20.774633,1.6582999,24.753284,2.1771955
155,20.776024,2.0006561,24.987862,2.2000892
156,20.970493,1.7281866,25.222647,2.2250957
157,20.929577,1.7692689,25.456934,2.2518973
158,21.10835,1.645353,25.68978,2.2804177
159,21.036413,1.7793772,25.92015,2.310771
160,21.159283,1.4734789,26.147137,2.3431053
161,21.282625,1.5630542,26.370092,2.3774395
162,21.54627,2.077908,26.588568,2.413619
163,21.160004,1.6338313,26.802149,2.4513333
164,21.122452,1.6325765,27.010223,2.490222
165,21.701727,1.5543576,27.211935,2.5299888
166,21.21637,1.5623952,27.406315,2.5704463
167,21.410858,1.7763112,27.592503,2.6114218
168,21.894438,1.8218975,27.769913,2.6526608
169,21.823217,1.9932791,27.938135,2.6938207
170,21.244986,1.976212,28.096735,2.7345643
171,21.319233,1.8261621,28.245209,2.7746766
172,21.549908,1.8885404,28.38305,2.8140554
173,21.598429,1.7298641,28.509861,2.8526206
174,21.134802,2.2278311,28.625336,2.8901029
175,21.177471,2.127725,28.729187,2.925981
176,21.222364,2.0844495,28.821033,2.9595351
177,21.272598,1.9275126,28.900457,2.9899797
178,21.143576,2.1023593,28.96716,3.0166001
179,21.704365,1.9794621,29.021011,3.0388784
180,21.671585,2.1214337,29.062037,3.0565226
181,21.47206,2.4256325,29.090277,3.069461
182,21.620243,2.477232,29.105732,3.0777385
183,21.37508,2.5749612,29.108347,3.0813994
184,21.231457,2.5226312,29.098095,3.0803738
185,21.097385,2.522388,29.075085,3.0744045
186,21.356634,2.4407375,29.039566,3.0631669
187,21.185707,2.1155503,28.991892,3.0464811
188,21.091244,2.303047,28.932423,3.024474
189,21.26898,2.2097673,28.861578,2.9975572
190,21.326288,2.3017445,28.779911,2.9662106
191,21.596779,2.1720533,28.68807,2.9308462
192,21.353138,2.5158951,28.586752,2.8918424
193,21.560986,2.5323477,28.476547,2.8496497
194,21.270283,2.361021,28.358002,2.804857
195,20.986553,2.324219,28.23174,2.7581482
196,21.198751,2.4487636,28.098547,2.710197
197,20.980305,2.187674,27.959305,2.6615553
198,20.86377,2.438092,27.814892,2.6126711
199,20.469322,2.4176867,27.666092,2.5640016
